,Configuration,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
400,"Activation: hard_sigmoid, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.900000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.564,97.584,97.61999999999999,97.72999999999999,71
401,"Activation: hard_sigmoid, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.950000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.55199999999998,97.59800000000001,97.72,97.81,73
402,"Activation: hard_sigmoid, Optimizer: adam, amsgrad: 0.000000, beta_1: 0.900000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.53999999999999,97.59800000000001,97.67,97.81,87
403,"Activation: hard_sigmoid, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.950000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.60600000000001,97.62599999999999,97.7,97.78999999999999,88
404,"Activation: hard_sigmoid, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.900000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.528,97.59800000000001,97.65,97.77,89
405,"Activation: hard_sigmoid, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.950000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.58000000000001,97.58000000000001,97.71,97.77,99
406,"Activation: hard_sigmoid, Optimizer: adam, amsgrad: 1.000000, beta_1: 0.900000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.514,97.646,97.69,97.75,65
407,"Activation: hard_sigmoid, Optimizer: Adamax, beta_1: 0.990000, beta_2: 0.999900, Decay: 0.000000, Normalized data",97.41800000000002,97.42599999999999,97.67,97.67,91
408,"Activation: hard_sigmoid, Optimizer: Adamax, beta_1: 0.990000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.592,97.61599999999999,97.63,97.71,90
409,"Activation: hard_sigmoid, Optimizer: Adamax, beta_1: 0.950000, beta_2: 0.999000, Decay: 0.000000, Normalized data",97.60600000000001,97.618,97.76,97.85000000000001,96
410,"Activation: hard_sigmoid, Optimizer: Adamax, beta_1: 0.950000, beta_2: 0.990000, Decay: 0.000000, Normalized data",97.58800000000001,97.658,97.78999999999999,97.78999999999999,91
411,"Activation: hard_sigmoid, Optimizer: Adamax, beta_1: 0.950000, beta_2: 0.950000, Decay: 0.000000, Normalized data",97.42200000000001,97.57400000000001,97.58,97.87,77
412,"Activation: hard_sigmoid, Optimizer: Adamax, beta_1: 0.900000, beta_2: 0.900000, Decay: 0.000000, Normalized data",97.264,97.352,97.46000000000001,97.61,57
413,"Activation: hard_sigmoid, Optimizer: Adamax, beta_1: 0.900000, beta_2: 0.990000, Decay: 0.000000, Normalized data",97.646,97.658,97.76,97.78,98
414,"Activation: hard_sigmoid, Optimizer: Adamax, beta_1: 0.900000, beta_2: 0.950000, Decay: 0.000000, Normalized data",97.49799999999999,97.562,97.58,97.71,74
