,Activation,Optimizer,Configuration,Data type,Averaged on Last Epoch,Averaged Max Achieved,Overall Max on Last Epoch,Overall Max Achieved,Averaged Max Epoch
132,tanh,Adadelta,rho: 0.99,Normd,97.65599999999999,97.712,97.72999999999999,97.88,84
185,relu,adam,"amsgrad: True, beta_1: 0.95, beta_2: 0.999",Normd,97.63999999999999,97.70999999999998,97.71,97.85000000000001,64
116,tanh,sgd,"Momentum: 0.95, Nesterov: False",Normd,97.674,97.70800000000001,97.88,97.89,91
82,sigmoid,rmsp,rho: 0.99,Normd,97.654,97.708,97.71,97.9,90
193,relu,Adamax,"beta_1: 0.9, beta_2: 0.99",Normd,97.594,97.708,97.69,97.89,67
693,relu,adam,"amsgrad: True, beta_1: 0.95, beta_2: 0.9999",Std,97.708,97.708,97.91,97.96000000000001,99
755,elu,Nadam,"beta_1: 0.9, beta_2: 0.95",Std,97.29599999999999,97.706,97.39,97.89,31
330,softplus,Nadam,"beta_1: 0.95, beta_2: 0.95",Normd,97.456,97.706,97.64,97.84,28
262,selu,Adadelta,rho: 0.5,Normd,97.684,97.706,97.75,97.8,96
691,relu,adam,"amsgrad: False, beta_1: 0.95, beta_2: 0.999",Std,97.622,97.706,97.9,97.99,62
680,relu,rmsp,rho: 0.99,Std,97.55,97.70400000000002,97.75,97.92999999999999,54
751,elu,Nadam,"beta_1: 0.95, beta_2: 0.99",Std,97.61800000000001,97.70400000000001,97.8,97.9,65
675,relu,sgd,"Momentum: 0.9, Nesterov: True",Std,97.61400000000002,97.70400000000001,97.67,97.86,55
336,softsign,sgd,"Momentum: 0.95, Nesterov: False",Normd,97.66199999999999,97.704,97.82,97.82,85
18,relu,Adadelta,Default,Normd,97.63,97.70199999999998,97.72,97.88,87
819,softplus,Adadelta,rho: 0.999,Std,97.58200000000001,97.7,97.69,97.87,91
802,softplus,sgd,"Momentum: 0.95, Nesterov: False",Std,97.682,97.698,97.76,98.04,42
103,sigmoid,Adamax,"beta_1: 0.95, beta_2: 0.95",Normd,97.646,97.698,97.8,97.87,92
105,sigmoid,Adamax,"beta_1: 0.9, beta_2: 0.99",Normd,97.664,97.698,97.76,97.89,77
833,softplus,Adamax,"beta_1: 0.95, beta_2: 0.95",Std,97.30399999999999,97.696,97.47,97.91,28
182,relu,adam,"amsgrad: False, beta_1: 0.9, beta_2: 0.9999",Normd,97.58600000000001,97.696,97.74000000000001,97.92,81
696,relu,adam,"amsgrad: True, beta_1: 0.9, beta_2: 0.9999",Std,97.54599999999999,97.696,97.63,97.84,47
190,relu,Adamax,"beta_1: 0.95, beta_2: 0.99",Normd,97.542,97.69400000000002,97.7,97.85000000000001,37
392,hard_sigmoid,rmsp,rho: 0.999,Normd,97.54599999999999,97.69399999999999,97.59,97.84,40
380,hard_sigmoid,sgd,"Momentum: 0.95, Nesterov: False",Normd,97.682,97.69200000000001,97.87,97.91,95
197,relu,Nadam,"beta_1: 0.95, beta_2: 0.99",Normd,97.53399999999999,97.69,97.59,97.83,28
11,tanh,Adadelta,Default,Normd,97.656,97.68799999999999,97.85000000000001,97.85000000000001,96
527,relu,Adagrad,Default,Std,97.656,97.68799999999999,97.84,97.87,94
